"Year","Month","Crashes","Date"
"2008",1,70,2008-01-01
"2008",2,55,2008-02-01
"2008",3,59,2008-03-01
"2008",4,62,2008-04-01
"2008",5,81,2008-05-01
"2008",6,78,2008-06-01
"2008",7,99,2008-07-01
"2008",8,95,2008-08-01
"2008",9,86,2008-09-01
"2008",10,83,2008-10-01
"2008",11,87,2008-11-01
"2008",12,60,2008-12-01
"2009",1,65,2009-01-01
"2009",2,44,2009-02-01
"2009",3,54,2009-03-01
"2009",4,45,2009-04-01
"2009",5,63,2009-05-01
"2009",6,82,2009-06-01
"2009",7,81,2009-07-01
"2009",8,77,2009-08-01
"2009",9,89,2009-09-01
"2009",10,87,2009-10-01
"2009",11,58,2009-11-01
"2009",12,62,2009-12-01
"2010",1,55,2010-01-01
"2010",2,53,2010-02-01
"2010",3,57,2010-03-01
"2010",4,60,2010-04-01
"2010",5,77,2010-05-01
"2010",6,74,2010-06-01
"2010",7,90,2010-07-01
"2010",8,95,2010-08-01
"2010",9,79,2010-09-01
"2010",10,85,2010-10-01
"2010",11,77,2010-11-01
"2010",12,71,2010-12-01
"2011",1,64,2011-01-01
"2011",2,45,2011-02-01
"2011",3,63,2011-03-01
"2011",4,52,2011-04-01
"2011",5,64,2011-05-01
"2011",6,64,2011-06-01
"2011",7,79,2011-07-01
"2011",8,95,2011-08-01
"2011",9,76,2011-09-01
"2011",10,88,2011-10-01
"2011",11,68,2011-11-01
"2011",12,76,2011-12-01
"2012",1,52,2012-01-01
"2012",2,64,2012-02-01
"2012",3,77,2012-03-01
"2012",4,57,2012-04-01
"2012",5,71,2012-05-01
"2012",6,92,2012-06-01
"2012",7,92,2012-07-01
"2012",8,83,2012-08-01
"2012",9,78,2012-09-01
"2012",10,79,2012-10-01
"2012",11,64,2012-11-01
"2012",12,65,2012-12-01
"2013",1,66,2013-01-01
"2013",2,50,2013-02-01
"2013",3,50,2013-03-01
"2013",4,46,2013-04-01
"2013",5,69,2013-05-01
"2013",6,70,2013-06-01
"2013",7,97,2013-07-01
"2013",8,97,2013-08-01
"2013",9,101,2013-09-01
"2013",10,88,2013-10-01
"2013",11,87,2013-11-01
"2013",12,55,2013-12-01
"2014",1,39,2014-01-01
"2014",2,61,2014-02-01
"2014",3,46,2014-03-01
"2014",4,67,2014-04-01
"2014",5,74,2014-05-01
"2014",6,91,2014-06-01
"2014",7,91,2014-07-01
"2014",8,82,2014-08-01
"2014",9,82,2014-09-01
"2014",10,71,2014-10-01
"2014",11,61,2014-11-01
"2014",12,66,2014-12-01
"2015",1,61,2015-01-01
"2015",2,37,2015-02-01
"2015",3,47,2015-03-01
"2015",4,55,2015-04-01
"2015",5,73,2015-05-01
"2015",6,94,2015-06-01
"2015",7,111,2015-07-01
"2015",8,107,2015-08-01
"2015",9,77,2015-09-01
"2015",10,81,2015-10-01
"2015",11,81,2015-11-01
"2015",12,72,2015-12-01
"2016",1,58,2016-01-01
"2016",2,65,2016-02-01
"2016",3,41,2016-03-01
"2016",4,85,2016-04-01
"2016",5,69,2016-05-01
"2016",6,96,2016-06-01
"2016",7,88,2016-07-01
"2016",8,98,2016-08-01
"2016",9,111,2016-09-01
"2016",10,99,2016-10-01
"2016",11,93,2016-11-01
"2016",12,78,2016-12-01
"2017",1,72,2017-01-01
"2017",2,52,2017-02-01
"2017",3,71,2017-03-01
"2017",4,72,2017-04-01
"2017",5,76,2017-05-01
"2017",6,99,2017-06-01
"2017",7,90,2017-07-01
"2017",8,84,2017-08-01
"2017",9,91,2017-09-01
"2017",10,75,2017-10-01
"2017",11,81,2017-11-01
"2017",12,77,2017-12-01
"2018",1,49,2018-01-01
"2018",2,57,2018-02-01
"2018",3,60,2018-03-01
"2018",4,67,2018-04-01
"2018",5,79,2018-05-01
"2018",6,75,2018-06-01
"2018",7,83,2018-07-01
"2018",8,123,2018-08-01
"2018",9,110,2018-09-01
"2018",10,76,2018-10-01
"2018",11,66,2018-11-01
"2018",12,62,2018-12-01
"2019",1,70,2019-01-01
"2019",2,50,2019-02-01
"2019",3,62,2019-03-01
"2019",4,61,2019-04-01
"2019",5,82,2019-05-01
"2019",6,75,2019-06-01
"2019",7,95,2019-07-01
"2019",8,86,2019-08-01
"2019",9,80,2019-09-01
"2019",10,105,2019-10-01
"2019",11,71,2019-11-01
"2019",12,66,2019-12-01
"2020",1,57,2020-01-01
"2020",2,60,2020-02-01
"2020",3,45,2020-03-01
"2020",4,44,2020-04-01
"2020",5,82,2020-05-01
"2020",6,121,2020-06-01
"2020",7,123,2020-07-01
"2020",8,122,2020-08-01
"2020",9,99,2020-09-01
"2020",10,95,2020-10-01
"2020",11,92,2020-11-01
"2020",12,73,2020-12-01
"2021",1,60,2021-01-01
"2021",2,56,2021-02-01
"2021",3,85,2021-03-01
"2021",4,88,2021-04-01
"2021",5,103,2021-05-01
"2021",6,86,2021-06-01
"2021",7,108,2021-07-01
"2021",8,124,2021-08-01
"2021",9,99,2021-09-01
"2021",10,88,2021-10-01
"2021",11,96,2021-11-01
"2021",12,80,2021-12-01
"2022",1,82,2022-01-01
"2022",2,59,2022-02-01
"2022",3,63,2022-03-01
"2022",4,65,2022-04-01
"2022",5,108,2022-05-01
"2022",6,114,2022-06-01
"2022",7,111,2022-07-01
"2022",8,91,2022-08-01
"2022",9,109,2022-09-01
"2022",10,89,2022-10-01
"2022",11,83,2022-11-01
"2022",12,80,2022-12-01
