"Year","Month","Crashes","Date"
"2008",1,2575,2008-01-01
"2008",2,2586,2008-02-01
"2008",3,2549,2008-03-01
"2008",4,2722,2008-04-01
"2008",5,2887,2008-05-01
"2008",6,3029,2008-06-01
"2008",7,3018,2008-07-01
"2008",8,3224,2008-08-01
"2008",9,2860,2008-09-01
"2008",10,3063,2008-10-01
"2008",11,2829,2008-11-01
"2008",12,2830,2008-12-01
"2009",1,2377,2009-01-01
"2009",2,2167,2009-02-01
"2009",3,2349,2009-03-01
"2009",4,2592,2009-04-01
"2009",5,2780,2009-05-01
"2009",6,2750,2009-06-01
"2009",7,2787,2009-07-01
"2009",8,2865,2009-08-01
"2009",9,2650,2009-09-01
"2009",10,2622,2009-10-01
"2009",11,2512,2009-11-01
"2009",12,2411,2009-12-01
"2010",1,2101,2010-01-01
"2010",2,1830,2010-02-01
"2010",3,2213,2010-03-01
"2010",4,2552,2010-04-01
"2010",5,2704,2010-05-01
"2010",6,2569,2010-06-01
"2010",7,2852,2010-07-01
"2010",8,2825,2010-08-01
"2010",9,2799,2010-09-01
"2010",10,2827,2010-10-01
"2010",11,2587,2010-11-01
"2010",12,2437,2010-12-01
"2011",1,2088,2011-01-01
"2011",2,1880,2011-02-01
"2011",3,2220,2011-03-01
"2011",4,2338,2011-04-01
"2011",5,2578,2011-05-01
"2011",6,2624,2011-06-01
"2011",7,2910,2011-07-01
"2011",8,2749,2011-08-01
"2011",9,2633,2011-09-01
"2011",10,2856,2011-10-01
"2011",11,2494,2011-11-01
"2011",12,2497,2011-12-01
"2012",1,2283,2012-01-01
"2012",2,2127,2012-02-01
"2012",3,2487,2012-03-01
"2012",4,2434,2012-04-01
"2012",5,2672,2012-05-01
"2012",6,2789,2012-06-01
"2012",7,2833,2012-07-01
"2012",8,2844,2012-08-01
"2012",9,2735,2012-09-01
"2012",10,2658,2012-10-01
"2012",11,2602,2012-11-01
"2012",12,2542,2012-12-01
"2013",1,2230,2013-01-01
"2013",2,1952,2013-02-01
"2013",3,2356,2013-03-01
"2013",4,2300,2013-04-01
"2013",5,2532,2013-05-01
"2013",6,2692,2013-06-01
"2013",7,2660,2013-07-01
"2013",8,2899,2013-08-01
"2013",9,2741,2013-09-01
"2013",10,2768,2013-10-01
"2013",11,2615,2013-11-01
"2013",12,2457,2013-12-01
"2014",1,2168,2014-01-01
"2014",2,1893,2014-02-01
"2014",3,2245,2014-03-01
"2014",4,2308,2014-04-01
"2014",5,2596,2014-05-01
